"","schoolindex","school","year","value"
"1",1,"강원대","9",2
"2",1,"경북대","9",1
"3",1,"고려대","9",8
"4",1,"국민대","9",1
"5",1,"동국대","9",1
"6",1,"동아대","9",1
"7",1,"명지대","9",1
"8",1,"서울대","9",10
"9",1,"서울시립대","9",2
"10",1,"성균관대","9",3
"11",1,"연세대","9",4
"12",1,"이화여대","9",4
"13",1,"한국외대","9",2
"14",2,"건국대","9",2
"15",2,"고려대","9",6
"16",2,"서강대","9",1
"17",2,"서울대","9",11
"18",2,"숙명여대","9",1
"19",2,"연세대","9",11
"20",2,"이화여대","9",2
"21",2,"중앙대","9",1
"22",2,"한양대","9",2
"23",2,"홍익대","9",1
"24",2,"University of California","9",1
"25",2,"George Washington University","9",1
"26",3,"경북대","9",29
"27",3,"경상대","9",1
"28",3,"경찰대","9",6
"29",3,"고려대","9",15
"30",3,"동국대","9",1
"31",3,"부경대","9",1
"32",3,"부산대","9",1
"33",3,"서울대","9",20
"34",3,"서울시립대","9",1
"35",3,"성균관대","9",3
"36",3,"아주대","9",1
"37",3,"연세대","9",12
"38",3,"울산대","9",1
"39",3,"이화여대","9",8
"40",3,"중앙대","9",1
"41",3,"창원대","9",1
"42",3,"충남대","9",1
"43",3,"포항공대","9",1
"44",3,"카이스트","9",1
"45",3,"한국항공대","9",1
"46",3,"한동대","9",2
"47",3,"한양대","9",10
"48",3,"홍익대","9",2
"49",4,"경희대","9",9
"50",4,"고려대","9",10
"51",4,"서울대","9",20
"52",4,"성균관대","9",3
"53",4,"세종대","9",1
"54",4,"연세대","9",10
"55",4,"전북대","9",1
"56",4,"포항공대","9",1
"57",4,"카이스트","9",1
"58",4,"한국외대","9",1
"59",4,"한림대","9",2
"60",4,"State Univerisity of New York","9",1
"61",5,"경찰대","9",3
"62",5,"고려대","9",57
"63",5,"부산대","9",1
"64",5,"서울대","9",48
"65",5,"연세대","9",5
"66",5,"이화여대","9",1
"67",5,"포항공대","9",2
"68",5,"카이스트","9",2
"69",5,"한양대","9",1
"70",5,"Peking University","9",1
"71",6,"영남대","9",2
"72",6,"영산대","9",1
"73",6,"이화여대","9",4
"74",6,"인천대","9",1
"75",6,"전남대","9",2
"76",6,"한국외대","9",4
"77",6,"한국해양대","9",1
"78",6,"한동대","9",2
