schoolindex	학교	index01	index02	leetavg	leet25	leet50	leet75	gpaavg	gpa25	gpa50	gpa75	engavg	eng25	eng50	eng75	index	종합점수			140		
9	서울대	가	일반	134.2	139.3	135.4	131.5	96.52	97.6	96.7	95.6	0	0	0	0	13	192.3771429					
9	서울대		특별	132.1	138.5	133.8	130.2	95.43	96.8	95.2	94.25	0	0	0	0	14	189.7871429					
5	고려대	나		126.4	130.2	126.4	124.5	95	97	95	94	920	920	920	830	5	185.2857143					
13	연세대	나	일반	126	128	125	121	95.2	96	95.4	94.4	965	985	975	955	20	185.2					
13	연세대		특별	127	132	127	122	93.6	95	94.4	93	0	0	0	0	21	184.3142857					
11	성균관대		일반	125.5	130.2	126.4	120.7	92.7	94.7	93.3	91.2	965	985	975	955	16	182.3428571					
25	한양대			121.5	125.9	120.9	116.9	95.1	96.7	95.3	93.9	975	990	960	940	41	181.8857143					
24	한국외대	나-1		120.2	124.5	118.8	116.8	92.7	95.3	93.8	91.4	933	960	950	915	40	178.5571429					
16	이화여대		일반	116	112.5	128.3	111.1	95.5	97.4	91.6	94.4	980	965	970	985	25	178.3571429					
24	한국외대	가	일반	119	122.5	118.8	114.9	93.1	96.4	94.2	90.5	918	960	945	905	38	178.1					
10	서울시립대			119.55	124.5	120.6	113.2	92.37	94.8	92.5	89.7	939.44	955	940	920	15	177.7628571			117	94.22	949
2	건국대	가		121.45	120.7	118.7	126.5	90.6	93	93.6	90	937.38	955	950	885	2	177.35					
11	성균관대		특별	117.6	124.4	116.8	112.9	93	95.7	93.4	91.9	955	975	955	955	17	177					
21	중앙대			114.18	114.91	114.55	114.18	95	97	96	92	858	924	924	858	33	176.5571429					
7	부산대	나	특별	115				93.5				910.25	0	0	0	10	175.6428571					
8	서강대	가		116.7	118.9	118.9	105.4	91.4	96.6	93.3	89.6	939	940	935	935	11	174.7571429					
17	인하대		일반	112.7	116.8	113	109.3	93.8	95.5	94.1	92.3	923.9	965	930	900	27	174.3					
22	충남대	가		112.1	118.9	118.9	103.5	93.7	91.2	93.41	92.3	900	900	850	890	34	173.7714286					
8	서강대	나-1		114.2	109.1	113.9	111.1	91.6	90.8	92.6	93.5	943	930	975	965	12	173.1714286					
22	충남대	나-1		113.2	118.7	109.1	118.9	92.2	91.47	97.1	88.7	900	900	900	900	35	173.0571429					
17	인하대		특별	106.8	109.3	105.5	105.5	96.2	97.2	96.5	94.9	843.3	875	855	800	28	172.4857143					
7	부산대	나-1	일반	111.2	116.8	111.4	110.8	92.9	95.5	93.8	91	916.05	955.2	930.55	885.6	9	172.3285714					
16	이화여대		특별	112	124.5	105.5	105.4	92.1	85.9	92.3	93.1	950	980	822	945	26	172.1					
19	전북대			110.9				92.5				901.89				30	171.7142857					
7	부산대	가	일반	111.2	117	111.4	110.5	92.25	94.95	92.7	90.6	920.4	965	941	894	7	171.6785714					
23	충북대			107.8	111.2	107.5	105.3	94	95	94	91	945	970	960	900	37	171					
3	경북대			110.3	114.9	111	105.5	91.3	94.6	91.7	88.4	925	955	930	910	3	170.0857143					
18	전남대			108.48	111.3	105.4	108.48	92.49	95.1	93	90.88	922.24	960	935	900	29	169.9757143					
1	강원대	나		111.9	117	111.2	107.4	89.99	94.2	90.7	87.44	0	0	0	0	1	169.9185714					
12	아주대	나-1		110.3	103.5	122.6	113	90.7	92	88.5	92.5	921	30	930	920	19	169.4857143					
7	부산대	가	특별	109.8				90.7				898.65	0	0	0	8	169.1285714					
12	아주대	가		111.5	120.7	122.6	103.5	89.4	83.5	83.2	84.8	913.5	915	920	950	18	169.0428571					
24	한국외대	가	특별	107.9	118.7	118.7	95.9	90.3	91.4	91.4	89.6	912	960	960	820	39	167.3714286					
22	충남대		특별	104.3	107.6	101.4	101.6	91.93	96.77	94.8	96.23	890	900	900	900	36	166.43					
20	제주대	나-1		99.9	97.8	96.1	111.1	93	91.6	95.7	89.6	946	970	925	945	32	164.3571429					
20	제주대	가		98.4	101.7	97.8	99.7	94	95.6	95.5	94.9	903	910	940	915	31	164.2857143					
6	동아대			100.1	105.4	99.7	94.1	90.3	94.5	91.4	87.8	953.3	975	960	940	6	161.8					
15	원광대	나-1		96.3	101	102	93	92.5	95.1	93.4	89.1	892.31	900	900	900	24	161.2857143					
15	원광대	가		99.7	103.6	101.6	95.9	89.4	93.7	91.3	85.7	887.1	900	900	885	23	160.6142857					
14	영남대			100.92	109.3	99.7	93.9	88.4	91.7	87.9	85.3	828.29	845	795	740	22	160.4857143					
4	경희대			93.3	96.3	93.3	91.5	93.3	96.3	93.3	91.5	0	0	0	0	4	159.9428571					
