schoolindex,f09,t09,f10,t10,f11,t11,f12,t12,f13,t13,f14,t14,f15,t15,f16,t16,f17,t17
1,0,0,0,0,0,0,0,0,0,0,1,44,0,40,0,43,0,151
2,0,0,0,0,0,0,0,0,0,0,3,39,2,41,2,43,0,0
3,0,0,0,0,0,0,0,0,0,0,2,123,0,126,0,132,0,126
4,0,0,0,0,0,0,0,0,0,0,0,63,0,62,0,66,0,55
5,0,0,0,0,0,0,0,0,0,0,10,127,5,126,6,127,4,123
6,0,0,0,0,0,0,0,0,0,0,3,81,3,83,7,80,8,55
7,0,0,0,0,0,0,0,0,0,0,1,122,2,127,2,125,1,66
8,0,0,0,0,0,0,0,0,0,0,1,42,1,41,1,44,0,41
9,0,0,0,0,0,0,0,0,0,0,6,153,3,153,4,154,4,131
10,0,0,0,0,0,0,0,0,0,0,0,50,0,55,0,53,0,80
11,0,0,0,0,0,0,0,0,0,0,3,125,2,126,7,128,1,54
12,0,0,0,0,0,0,0,0,0,0,1,51,0,51,2,55,0,125
13,0,0,0,0,0,0,0,0,0,0,1,125,3,127,6,129,3,132
14,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,70,1,128
15,0,0,0,0,0,0,0,0,0,0,0,62,0,64,0,62,1,55
16,0,0,0,0,0,0,0,0,0,0,3,103,8,100,4,103,6,104
17,0,0,0,0,0,0,0,0,0,0,3,53,0,50,1,53,3,55
18,0,0,0,0,0,0,0,0,0,0,4,128,2,125,1,131,0,40
19,0,0,0,0,0,0,0,0,0,0,1,84,1,83,4,82,0,81
20,0,0,0,0,0,0,0,0,0,0,0,40,4,44,2,44,2,74
21,0,0,0,0,0,0,0,0,0,0,1,54,0,52,2,53,2,108
22,0,0,0,0,0,0,0,0,0,0,0,106,0,104,0,106,2,58
23,0,0,0,0,0,0,0,0,0,0,0,75,0,74,2,72,3,71
24,0,0,0,0,0,0,0,0,0,0,1,50,0,52,0,52,0,45
25,0,0,0,0,0,0,0,0,0,0,1,105,0,107,3,110,0,0
