schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17
1,가톨릭대,0,0,1,0,0,0,0,0,0
1,강원대,2,5,3,7,4,3,3,4,0
1,건국대,0,1,2,1,3,5,3,2,0
1,경북대,1,0,0,0,0,0,1,0,0
1,경찰대,0,0,0,0,0,2,0,0,0
1,경희대,0,0,1,4,2,1,2,3,0
1,고려대,8,6,6,4,5,5,9,1,0
1,광운대,0,0,0,0,0,1,0,0,0
1,국민대,1,2,1,0,1,0,0,0,0
1,동국대,1,0,0,0,1,0,0,1,0
1,동덕여대,0,0,0,0,0,0,0,1,0
1,동아대,1,0,0,0,0,0,0,0,0
1,명지대,1,0,1,0,0,0,0,1,0
1,부산대,0,0,0,0,0,0,1,0,0
1,서강대,0,1,1,2,0,0,0,2,0
1,서울교대,0,1,0,0,0,0,0,0,0
1,서울대,10,5,3,7,1,5,3,3,0
1,서울시립대,2,1,0,4,2,0,3,4,0
1,성균관대,3,1,2,2,6,4,0,0,0
1,성신여대,0,0,0,1,1,1,1,2,0
1,세종대,0,0,1,0,0,0,1,0,0
1,숙명여대,0,2,3,0,2,0,1,0,0
1,숭실대,0,0,0,0,0,0,0,1,0
1,연세대,4,5,6,3,4,2,1,3,0
1,이화여대,4,3,6,3,3,6,3,2,0
1,인천대,0,0,1,1,0,0,0,1,0
1,인하대,0,0,0,0,0,0,0,0,0
1,전남대,0,0,0,0,0,1,0,0,0
1,조선대,0,0,0,0,0,0,0,1,0
1,중앙대,0,2,1,0,1,1,0,2,0
1,충남대,0,0,0,0,1,0,0,0,0
1,포항공대,0,1,0,0,0,0,0,0,0
1,학점은행,0,0,0,0,0,0,1,0,0
1,한국외대,2,2,1,0,1,1,3,3,0
1,한동대,0,0,0,1,1,0,0,0,0
1,한림대,0,0,0,0,0,0,1,0,0
1,한양대,0,3,1,2,3,1,2,5,0
1,홍익대,0,0,0,1,0,0,1,1,0
1,Columbia University,0,0,0,0,0,1,0,0,0
1,가톨릭대,0,0,0,0,0,0,0,0,2
1,강원대,0,0,0,0,0,0,0,0,2
1,건국대,0,0,0,0,0,0,0,0,3
1,경희대,0,0,0,0,0,0,0,0,6
1,고려대,0,0,0,0,0,0,0,0,3
1,광운대,0,0,0,0,0,0,0,0,1
1,동국대,0,0,0,0,0,0,0,0,2
1,명지대,0,0,0,0,0,0,0,0,1
1,부산외대,0,0,0,0,0,0,0,0,1
1,서울대,0,0,0,0,0,0,0,0,1
1,성균관대,0,0,0,0,0,0,0,0,3
1,성신여대,0,0,0,0,0,0,0,0,1
1,세종대,0,0,0,0,0,0,0,0,1
1,숙명여대,0,0,0,0,0,0,0,0,2
1,연세대,0,0,0,0,0,0,0,0,6
1,이화여대,0,0,0,0,0,0,0,0,1
1,인하대,0,0,0,0,0,0,0,0,1
1,전남대,0,0,0,0,0,0,0,0,1
1,한동대,0,0,0,0,0,0,0,0,1
1,한림대,0,0,0,0,0,0,0,0,2
1,한양대,0,0,0,0,0,0,0,0,2
1,홍익대,0,0,0,0,0,0,0,0,2
2,건국대,2,6,0,2,3,3,9,7,0
2,경찰대,0,0,0,0,0,1,0,0,0
2,경희대,0,2,0,1,3,0,0,0,0
2,고려대,6,6,6,5,12,6,2,2,0
2,국민대,0,0,0,0,0,0,0,1,0
2,광운대,0,0,0,0,0,1,0,0,0
2,대구가톨릭대,0,0,0,0,0,1,0,0,0
2,동국대,0,0,0,0,0,0,0,1,0
2,부산대,0,0,1,0,0,0,0,0,0
2,서강대,1,0,5,0,1,1,3,3,0
2,서울대,11,3,3,5,0,8,8,4,0
2,서울시립대,0,0,2,1,3,0,0,0,0
2,성균관대,0,2,4,5,1,3,1,0,0
2,세종대,0,0,0,0,1,0,0,0,0
2,숙명여대,1,0,0,2,2,0,2,2,0
2,연세대,11,11,10,8,7,6,2,8,0
2,이화여대,2,3,2,6,5,4,7,8,0
2,인하대,0,1,0,1,0,0,0,0,0
2,제주대,0,0,1,0,0,0,0,0,0
2,중앙대,1,1,0,1,0,0,0,0,0
2,포항공대,0,0,1,0,0,0,0,0,0
2,카이스트,0,3,0,0,0,0,0,0,0
2,학점은행,0,1,1,0,1,0,0,0,0
2,한국교원대,0,0,0,0,1,0,0,0,0
2,한국외대,0,0,1,1,0,1,0,1,0
2,한동대,0,0,0,0,0,0,2,0,0
2,한양대,2,2,3,2,2,1,2,3,0
2,홍익대,1,0,1,0,1,0,1,1,0
2,Peking University,0,0,1,0,0,0,0,0,0
2,Waseda University,0,0,0,0,0,0,0,1,0
2,University of California,1,0,0,0,0,0,0,0,0
2,George Washington University,1,0,0,0,0,0,0,0,0
2,Boston University,0,1,0,0,0,0,0,0,0
2,State Univerisity of New York,0,0,1,0,0,0,0,0,0
2,Tuffs University,0,0,0,1,0,0,0,0,0
2,University of illinois at chicago,0,0,0,1,0,1,0,1,0
2,University of Vicoto,0,0,0,1,0,0,0,0,0
2,Wesleyan University,0,0,0,1,0,0,0,0,0
2,University of Michigan,0,0,0,0,0,1,0,0,0
2,Ohio State University,0,0,0,0,0,1,0,0,0
2,Emory Universtiy,0,0,0,0,0,0,1,0,0
2,Johns Hopkins,0,0,0,0,0,0,1,0,0
3,건국대,0,2,2,3,0,1,0,1,0
3,경북대,29,27,29,35,23,21,22,20,0
3,경상대,1,0,0,0,0,0,0,1,0
3,경성대,0,1,0,0,0,0,0,0,0
3,경찰대,6,0,0,1,4,10,4,2,0
3,경희대,0,0,2,2,3,2,2,2,0
3,계명대,0,0,0,2,0,0,1,0,0
3,고려대,15,15,10,10,16,13,19,12,0
3,대구가룰릭대,0,2,0,0,0,0,1,0,0
3,대구교대,0,0,0,0,2,0,0,2,0
3,동국대,1,1,1,3,0,2,0,0,0
3,명지대,0,0,0,0,1,0,0,0,0
3,부경대,1,0,0,0,0,0,0,0,0
3,부산대,1,1,2,2,0,0,0,0,0
3,상명대,0,0,0,1,0,0,0,0,0
3,서강대,0,5,3,1,3,2,3,3,0
3,서경대,0,0,0,1,0,0,0,0,0
3,서울교대,0,0,1,0,0,0,1,1,0
3,서울대,20,16,8,8,7,12,16,13,0
3,서울시립대,1,0,2,0,3,5,0,0,0
3,성균관대,3,15,9,9,14,8,10,10,0
3,숙명여대,0,1,3,2,2,0,0,4,0
3,숭실대,0,0,0,0,0,0,0,1,0
3,아주대,1,1,0,1,0,1,0,0,0
3,연세대,12,10,15,7,8,17,16,21,0
3,영남대,0,0,0,1,4,3,0,1,0
3,울산과기대,0,0,0,0,0,2,0,0,0
3,울산대,1,0,0,0,0,0,0,0,0
3,육군사관학교,0,0,0,0,0,0,2,0,0
3,원광대,0,1,0,0,0,0,0,0,0
3,을지대,0,0,0,0,0,0,1,0,0
3,이화여대,8,5,8,4,8,9,6,6,0
3,인하대,0,0,0,1,0,0,0,0,0
3,전북대,0,0,0,1,0,0,0,0,0
3,제주대,0,0,0,1,0,0,0,0,0
3,중앙대,1,4,5,3,8,0,3,7,0
3,창원대,1,0,0,1,0,0,0,0,0
3,청주교대,0,0,0,0,1,0,0,0,0
3,충남대,1,1,0,2,1,0,0,0,0
3,충북대,0,1,1,0,0,0,0,0,0
3,학점은행,0,0,0,1,0,0,0,0,0
3,포항공대,1,0,0,0,0,0,1,0,0
3,카이스트,1,2,0,0,0,0,1,0,0
3,한국교원대,0,1,1,0,0,0,0,0,0
3,한국예술종합학교,0,0,0,0,0,1,0,0,0
3,한국외대,0,4,4,5,1,3,3,1,0
3,한국항공대,1,0,1,1,0,0,0,0,0
3,한국해양대,0,0,0,1,0,0,0,0,0
3,한동대,2,2,1,2,1,0,3,5,0
3,한양대,10,7,9,16,13,9,9,17,0
3,홍익대,2,2,3,0,1,0,2,2,0
3,Peking University,0,0,0,0,0,1,0,0,0
3,Carleton College,0,1,0,0,0,0,0,0,0
3,George Washington University,0,1,0,0,0,0,0,0,0
3,University of Rochester,0,1,0,0,0,0,0,0,0
3,State Univerisity of New York,0,0,1,0,0,0,0,0,0
3,University of Wisconsin Madison,0,0,0,0,1,0,0,0,0
3,Carnegie Mellon University,0,0,0,0,0,1,0,0,0
4,경북대,0,0,1,0,0,0,0,0,0
4,경인교대,0,0,0,0,0,0,0,1,0
4,경찰대,0,3,2,1,2,1,3,0,0
4,경희대,9,9,11,14,12,14,11,11,0
4,고려대,10,15,9,14,6,9,13,8,0
4,공군사관학교,0,0,1,0,0,0,0,0,0
4,국민대,0,0,0,1,0,1,0,0,0
