schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,index
1,가톨릭대,0,0,1,0,0,0,0,0,0,1
1,강원대,2,5,3,7,4,3,3,4,0,2
1,건국대,0,1,2,1,3,5,3,2,0,3
1,경북대,1,0,0,0,0,0,1,0,0,4
1,경찰대,0,0,0,0,0,2,0,0,0,5
1,경희대,0,0,1,4,2,1,2,3,0,6
1,고려대,8,6,6,4,5,5,9,1,0,7
1,광운대,0,0,0,0,0,1,0,0,0,8
1,국민대,1,2,1,0,1,0,0,0,0,9
1,동국대,1,0,0,0,1,0,0,1,0,10
1,동덕여대,0,0,0,0,0,0,0,1,0,11
1,동아대,1,0,0,0,0,0,0,0,0,12
1,명지대,1,0,1,0,0,0,0,1,0,13
1,부산대,0,0,0,0,0,0,1,0,0,14
1,서강대,0,1,1,2,0,0,0,2,0,15
1,서울교대,0,1,0,0,0,0,0,0,0,16
1,서울대,10,5,3,7,1,5,3,3,0,17
1,서울시립대,2,1,0,4,2,0,3,4,0,18
1,성균관대,3,1,2,2,6,4,0,0,0,19
1,성신여대,0,0,0,1,1,1,1,2,0,20
1,세종대,0,0,1,0,0,0,1,0,0,21
1,숙명여대,0,2,3,0,2,0,1,0,0,22
1,숭실대,0,0,0,0,0,0,0,1,0,23
1,연세대,4,5,6,3,4,2,1,3,0,24
1,이화여대,4,3,6,3,3,6,3,2,0,25
1,인천대,0,0,1,1,0,0,0,1,0,26
1,인하대,0,0,0,0,0,0,0,0,0,27
1,전남대,0,0,0,0,0,1,0,0,0,28
1,조선대,0,0,0,0,0,0,0,1,0,29
1,중앙대,0,2,1,0,1,1,0,2,0,30
1,충남대,0,0,0,0,1,0,0,0,0,31
1,포항공대,0,1,0,0,0,0,0,0,0,32
1,학점은행,0,0,0,0,0,0,1,0,0,33
1,한국외대,2,2,1,0,1,1,3,3,0,34
1,한동대,0,0,0,1,1,0,0,0,0,35
1,한림대,0,0,0,0,0,0,1,0,0,36
1,한양대,0,3,1,2,3,1,2,5,0,37
1,홍익대,0,0,0,1,0,0,1,1,0,38
1,해외대,0,0,0,0,0,1,0,0,0,39
1,가톨릭대,0,0,0,0,0,0,0,0,2,41
1,강원대,0,0,0,0,0,0,0,0,2,42
1,건국대,0,0,0,0,0,0,0,0,3,43
1,경희대,0,0,0,0,0,0,0,0,6,44
1,고려대,0,0,0,0,0,0,0,0,3,45
1,광운대,0,0,0,0,0,0,0,0,1,46
1,동국대,0,0,0,0,0,0,0,0,2,47
1,명지대,0,0,0,0,0,0,0,0,1,48
1,부산외대,0,0,0,0,0,0,0,0,1,49
1,서울대,0,0,0,0,0,0,0,0,1,50
1,성균관대,0,0,0,0,0,0,0,0,3,51
1,성신여대,0,0,0,0,0,0,0,0,1,52
1,세종대,0,0,0,0,0,0,0,0,1,53
1,숙명여대,0,0,0,0,0,0,0,0,2,54
1,연세대,0,0,0,0,0,0,0,0,6,55
1,이화여대,0,0,0,0,0,0,0,0,1,56
1,인하대,0,0,0,0,0,0,0,0,1,57
1,전남대,0,0,0,0,0,0,0,0,1,58
1,한동대,0,0,0,0,0,0,0,0,1,59
1,한림대,0,0,0,0,0,0,0,0,2,60
1,한양대,0,0,0,0,0,0,0,0,2,61
1,홍익대,0,0,0,0,0,0,0,0,2,62
2,건국대,2,6,0,2,3,3,9,7,0,63
2,경찰대,0,0,0,0,0,1,0,0,0,64
2,경희대,0,2,0,1,3,0,0,0,0,65
2,고려대,6,6,6,5,12,6,2,2,0,66
2,국민대,0,0,0,0,0,0,0,1,0,67
2,광운대,0,0,0,0,0,1,0,0,0,68
2,대구가톨릭대,0,0,0,0,0,1,0,0,0,69
2,동국대,0,0,0,0,0,0,0,1,0,70
2,부산대,0,0,1,0,0,0,0,0,0,71
2,서강대,1,0,5,0,1,1,3,3,0,72
2,서울대,11,3,3,5,0,8,8,4,0,73
2,서울시립대,0,0,2,1,3,0,0,0,0,74
2,성균관대,0,2,4,5,1,3,1,0,0,75
2,세종대,0,0,0,0,1,0,0,0,0,76
2,숙명여대,1,0,0,2,2,0,2,2,0,77
2,연세대,11,11,10,8,7,6,2,8,0,78
2,이화여대,2,3,2,6,5,4,7,8,0,79
2,인하대,0,1,0,1,0,0,0,0,0,80
2,제주대,0,0,1,0,0,0,0,0,0,81
2,중앙대,1,1,0,1,0,0,0,0,0,82
2,포항공대,0,0,1,0,0,0,0,0,0,83
2,카이스트,0,3,0,0,0,0,0,0,0,84
2,학점은행,0,1,1,0,1,0,0,0,0,85
2,한국교원대,0,0,0,0,1,0,0,0,0,86
2,한국외대,0,0,1,1,0,1,0,1,0,87
2,한동대,0,0,0,0,0,0,2,0,0,88
2,한양대,2,2,3,2,2,1,2,3,0,89
2,홍익대,1,0,1,0,1,0,1,1,0,90
2,해외대,0,0,1,0,0,0,0,0,0,91
2,해외대,0,0,0,0,0,0,0,1,0,92
2,해외대,1,0,0,0,0,0,0,0,0,93
2,해외대,1,0,0,0,0,0,0,0,0,94
2,해외대,0,1,0,0,0,0,0,0,0,95
2,해외대,0,0,1,0,0,0,0,0,0,96
2,해외대,0,0,0,1,0,0,0,0,0,97
2,해외대,0,0,0,1,0,1,0,1,0,98
2,해외대,0,0,0,1,0,0,0,0,0,99
2,해외대,0,0,0,1,0,0,0,0,0,100
2,해외대,0,0,0,0,0,1,0,0,0,101
2,해외대,0,0,0,0,0,1,0,0,0,102
2,해외대,0,0,0,0,0,0,1,0,0,103
2,해외대,0,0,0,0,0,0,1,0,0,104
3,건국대,0,2,2,3,0,1,0,1,0,105
3,경북대,29,27,29,35,23,21,22,20,0,106
3,경상대,1,0,0,0,0,0,0,1,0,107
3,경성대,0,1,0,0,0,0,0,0,0,108
3,경찰대,6,0,0,1,4,10,4,2,0,109
3,경희대,0,0,2,2,3,2,2,2,0,110
3,계명대,0,0,0,2,0,0,1,0,0,111
3,고려대,15,15,10,10,16,13,19,12,0,112
3,대구가룰릭대,0,2,0,0,0,0,1,0,0,113
3,대구교대,0,0,0,0,2,0,0,2,0,114
3,동국대,1,1,1,3,0,2,0,0,0,115
3,명지대,0,0,0,0,1,0,0,0,0,116
3,부경대,1,0,0,0,0,0,0,0,0,117
3,부산대,1,1,2,2,0,0,0,0,0,118
3,상명대,0,0,0,1,0,0,0,0,0,119
3,서강대,0,5,3,1,3,2,3,3,0,120
3,서경대,0,0,0,1,0,0,0,0,0,121
3,서울교대,0,0,1,0,0,0,1,1,0,122
3,서울대,20,16,8,8,7,12,16,13,0,123
3,서울시립대,1,0,2,0,3,5,0,0,0,124
3,성균관대,3,15,9,9,14,8,10,10,0,125
3,숙명여대,0,1,3,2,2,0,0,4,0,126
3,숭실대,0,0,0,0,0,0,0,1,0,127
3,아주대,1,1,0,1,0,1,0,0,0,128
