schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,sum
1,기타 대학,0,0,1,0,0,0,0,0,0,1
1,기타 대학,2,5,3,7,4,3,3,4,0,31
1,건국대,0,1,2,1,3,5,3,2,0,17
1,경북대,1,0,0,0,0,0,1,0,0,2
1,경찰대,0,0,0,0,0,2,0,0,0,2
1,경희대,0,0,1,4,2,1,2,3,0,13
1,고려대,8,6,6,4,5,5,9,1,0,44
1,기타 대학,0,0,0,0,0,1,0,0,0,1
1,기타 대학,1,2,1,0,1,0,0,0,0,5
1,동국대,1,0,0,0,1,0,0,1,0,3
1,기타 대학,0,0,0,0,0,0,0,1,0,1
1,동아대,1,0,0,0,0,0,0,0,0,1
1,기타 대학,1,0,1,0,0,0,0,1,0,3
1,부산대,0,0,0,0,0,0,1,0,0,1
1,서강대,0,1,1,2,0,0,0,2,0,6
1,기타 대학,0,1,0,0,0,0,0,0,0,1
1,서울대,10,5,3,7,1,5,3,3,0,37
1,서울시립대,2,1,0,4,2,0,3,4,0,16
1,성균관대,3,1,2,2,6,4,0,0,0,18
1,기타 대학,0,0,0,1,1,1,1,2,0,6
1,기타 대학,0,0,1,0,0,0,1,0,0,2
1,숙명여대,0,2,3,0,2,0,1,0,0,8
1,기타 대학,0,0,0,0,0,0,0,1,0,1
1,연세대,4,5,6,3,4,2,1,3,0,28
1,이화여대,4,3,6,3,3,6,3,2,0,30
1,기타 대학,0,0,1,1,0,0,0,1,0,3
1,기타 대학,0,0,0,0,0,0,0,0,0,0
1,전남대,0,0,0,0,0,1,0,0,0,1
1,기타 대학,0,0,0,0,0,0,0,1,0,1
1,중앙대,0,2,1,0,1,1,0,2,0,7
1,충남대,0,0,0,0,1,0,0,0,0,1
1,기타 대학,0,1,0,0,0,0,0,0,0,1
1,기타 대학,0,0,0,0,0,0,1,0,0,1
1,한국외대,2,2,1,0,1,1,3,3,0,13
1,한동대,0,0,0,1,1,0,0,0,0,2
1,기타 대학,0,0,0,0,0,0,1,0,0,1
1,한양대,0,3,1,2,3,1,2,5,0,17
1,홍익대,0,0,0,1,0,0,1,1,0,3
1,해외대,0,0,0,0,0,1,0,0,0,1
1,기타 대학,0,0,0,0,0,0,0,0,2,2
1,기타 대학,0,0,0,0,0,0,0,0,2,2
1,건국대,0,0,0,0,0,0,0,0,3,3
1,경희대,0,0,0,0,0,0,0,0,6,6
1,고려대,0,0,0,0,0,0,0,0,3,3
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,동국대,0,0,0,0,0,0,0,0,2,2
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,서울대,0,0,0,0,0,0,0,0,1,1
1,성균관대,0,0,0,0,0,0,0,0,3,3
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,숙명여대,0,0,0,0,0,0,0,0,2,2
1,연세대,0,0,0,0,0,0,0,0,6,6
1,이화여대,0,0,0,0,0,0,0,0,1,1
1,기타 대학,0,0,0,0,0,0,0,0,1,1
1,전남대,0,0,0,0,0,0,0,0,1,1
1,한동대,0,0,0,0,0,0,0,0,1,1
1,기타 대학,0,0,0,0,0,0,0,0,2,2
1,한양대,0,0,0,0,0,0,0,0,2,2
1,홍익대,0,0,0,0,0,0,0,0,2,2
2,건국대,2,6,0,2,3,3,9,7,0,32
2,경찰대,0,0,0,0,0,1,0,0,0,1
2,경희대,0,2,0,1,3,0,0,0,0,6
2,고려대,6,6,6,5,12,6,2,2,0,45
2,기타 대학,0,0,0,0,0,0,0,1,0,1
2,기타 대학,0,0,0,0,0,1,0,0,0,1
2,기타 대학,0,0,0,0,0,1,0,0,0,1
2,동국대,0,0,0,0,0,0,0,1,0,1
2,부산대,0,0,1,0,0,0,0,0,0,1
2,서강대,1,0,5,0,1,1,3,3,0,14
2,서울대,11,3,3,5,0,8,8,4,0,42
2,서울시립대,0,0,2,1,3,0,0,0,0,6
2,성균관대,0,2,4,5,1,3,1,0,0,16
2,기타 대학,0,0,0,0,1,0,0,0,0,1
2,숙명여대,1,0,0,2,2,0,2,2,0,9
2,연세대,11,11,10,8,7,6,2,8,0,63
2,이화여대,2,3,2,6,5,4,7,8,0,37
2,기타 대학,0,1,0,1,0,0,0,0,0,2
2,기타 대학,0,0,1,0,0,0,0,0,0,1
2,중앙대,1,1,0,1,0,0,0,0,0,3
2,기타 대학,0,0,1,0,0,0,0,0,0,1
2,카이스트,0,3,0,0,0,0,0,0,0,3
2,기타 대학,0,1,1,0,1,0,0,0,0,3
2,기타 대학,0,0,0,0,1,0,0,0,0,1
2,한국외대,0,0,1,1,0,1,0,1,0,4
2,한동대,0,0,0,0,0,0,2,0,0,2
2,한양대,2,2,3,2,2,1,2,3,0,17
2,홍익대,1,0,1,0,1,0,1,1,0,5
2,해외대,0,0,1,0,0,0,0,0,0,1
2,해외대,0,0,0,0,0,0,0,1,0,1
2,해외대,1,0,0,0,0,0,0,0,0,1
2,해외대,1,0,0,0,0,0,0,0,0,1
2,해외대,0,1,0,0,0,0,0,0,0,1
2,해외대,0,0,1,0,0,0,0,0,0,1
2,해외대,0,0,0,1,0,0,0,0,0,1
2,해외대,0,0,0,1,0,1,0,1,0,3
2,해외대,0,0,0,1,0,0,0,0,0,1
2,해외대,0,0,0,1,0,0,0,0,0,1
2,해외대,0,0,0,0,0,1,0,0,0,1
2,해외대,0,0,0,0,0,1,0,0,0,1
2,해외대,0,0,0,0,0,0,1,0,0,1
2,해외대,0,0,0,0,0,0,1,0,0,1
3,건국대,0,2,2,3,0,1,0,1,0,9
3,경북대,29,27,29,35,23,21,22,20,0,206
3,기타 대학,1,0,0,0,0,0,0,1,0,2
3,기타 대학,0,1,0,0,0,0,0,0,0,1
3,경찰대,6,0,0,1,4,10,4,2,0,27
3,경희대,0,0,2,2,3,2,2,2,0,13
3,기타 대학,0,0,0,2,0,0,1,0,0,3
3,고려대,15,15,10,10,16,13,19,12,0,110
3,기타 대학,0,2,0,0,0,0,1,0,0,3
3,기타 대학,0,0,0,0,2,0,0,2,0,4
3,동국대,1,1,1,3,0,2,0,0,0,8
3,기타 대학,0,0,0,0,1,0,0,0,0,1
3,기타 대학,1,0,0,0,0,0,0,0,0,1
3,부산대,1,1,2,2,0,0,0,0,0,6
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,서강대,0,5,3,1,3,2,3,3,0,20
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,기타 대학,0,0,1,0,0,0,1,1,0,3
3,서울대,20,16,8,8,7,12,16,13,0,100
3,서울시립대,1,0,2,0,3,5,0,0,0,11
3,성균관대,3,15,9,9,14,8,10,10,0,78
3,숙명여대,0,1,3,2,2,0,0,4,0,12
3,기타 대학,0,0,0,0,0,0,0,1,0,1
3,기타 대학,1,1,0,1,0,1,0,0,0,4
3,연세대,12,10,15,7,8,17,16,21,0,106
3,기타 대학,0,0,0,1,4,3,0,1,0,9
3,기타 대학,0,0,0,0,0,2,0,0,0,2
3,기타 대학,1,0,0,0,0,0,0,0,0,1
3,기타 대학,0,0,0,0,0,0,2,0,0,2
3,기타 대학,0,1,0,0,0,0,0,0,0,1
