schoolindex,m09,o09,m10,o10,m11,o11,m12,o12,m13,o13,m14,o14,m15,o15,m16,o16,m17,o17
1,0,0,0,0,0,0,0,0,0,0,3,37,3,37,4,39,2,43
2,0,0,0,0,0,0,0,0,0,0,3,36,9,32,7,36,0,0
3,0,0,0,0,0,0,0,0,0,0,12,111,22,104,20,112,17,111
4,0,0,0,0,0,0,0,0,0,0,14,49,11,51,11,55,12,54
5,0,0,0,0,0,0,0,0,0,0,55,72,59,67,63,64,64,58
6,0,0,0,0,0,0,0,0,0,0,14,67,16,67,18,62,8,73
7,0,0,0,0,0,0,0,0,0,0,13,109,23,104,24,101,21,110
8,0,0,0,0,0,0,0,0,0,0,7,35,3,38,4,40,3,39
9,0,0,0,0,0,0,0,0,0,0,100,53,100,53,99,55,97,54
10,0,0,0,0,0,0,0,0,0,0,5,45,11,44,9,44,8,46
11,0,0,0,0,0,0,0,0,0,0,64,61,51,75,38,90,45,81
12,0,0,0,0,0,0,0,0,0,0,5,46,4,47,4,51,6,49
13,0,0,0,0,0,0,0,0,0,0,71,54,67,60,71,58,59,73
14,0,0,0,0,0,0,0,0,0,0,5,66,8,63,3,67,4,67
15,0,0,0,0,0,0,0,0,0,0,5,57,3,61,1,61,4,54
16,0,0,0,0,0,0,0,0,0,0,41,62,29,71,33,70,29,76
17,0,0,0,0,0,0,0,0,0,0,2,51,2,48,4,49,6,49
18,0,0,0,0,0,0,0,0,0,0,26,102,24,101,18,113,18,107
19,0,0,0,0,0,0,0,0,0,0,11,73,6,77,9,73,12,68
20,0,0,0,0,0,0,0,0,0,0,3,37,1,43,4,40,4,36
21,0,0,0,0,0,0,0,0,0,0,14,40,12,40,15,38,15,40
22,0,0,0,0,0,0,0,0,0,0,2,104,13,91,15,91,8,100
23,0,0,0,0,0,0,0,0,0,0,5,70,7,67,1,71,6,68
24,0,0,0,0,0,0,0,0,0,0,6,44,15,37,13,39,12,43
25,0,0,0,0,0,0,0,0,0,0,23,82,24,83,35,75,0,0
